21,"JAM","Standstill Traffic","Autopista Vespucio Sur",,"world_f7tluape",-33.51883,-70.707084
22,"JAM","Standstill Traffic","Ruta G-30 / Camino a Lonquén",,,-33.523533,-70.726146
23,"HAZARD","Road Hazard","Av. Américo Vespucio","Cerrillos",,-33.511814,-70.720554
24,"JAM","Standstill Traffic","Av. Américo Vespucio","Cerrillos",,-33.514519,-70.716996
25,"JAM","Heavy Traffic","Camino a Lonquén lateral",,"AmandaAguirre07",-33.516097,-70.719879
26,"JAM","Standstill Traffic","Av. Américo Vespucio","Lo Espejo","world_jf1trdbe",-33.520269,-70.703626
27,"CHIT_CHAT","Chit-Chat","Autopista Vespucio Sur",,"ppudpppp",-33.518355,-70.708366
28,"HAZARD","Car Stopped on Shoulder","Autopista Vespucio Sur",,"aalbornozb",-33.517978,-70.709388
29,"JAM","Heavy Traffic","Acceso a Autopista Vespucio Sur",,"NubeNinja1",-33.521,-70.701725
30,"JAM","Heavy Traffic","Av. Américo Vespucio","Cerrillos",,-33.513178,-70.718877
31,"JAM","Standstill Traffic","Acceso a Camino a Lonquén > Norte",,"FelipeArenas01",-33.514536,-70.718375
32,"JAM","Heavy Traffic","Av. Pedro Aguirre Cerda","Cerrillos","world_50o3fqlf",-33.50331,-70.710927
33,"JAM","Heavy Traffic","General Velásquez","Cerrillos","LeittoRb",-33.511283,-70.700031
34,"JAM","Standstill Traffic","Ruta G-30 / Camino a Lonquén",,"DannerNinja5",-33.506321,-70.712577
35,"HAZARD","Road Hazard","Av. Américo Vespucio","Lo Espejo","reynaldios",-33.522337,-70.700001
36,"JAM","Heavy Traffic","Autopista Vespucio Sur",,"grojas10",-33.520223,-70.703212
37,"CHIT_CHAT","Chit-Chat","Av. Américo Vespucio","Cerrillos","world_j54bndb8",-33.511226,-70.721205
38,"JAM","Heavy Traffic","Av. Lo Espejo","Cerrillos","Bricas2",-33.529198,-70.712614
39,"JAM","Standstill Traffic","Av. Lo Espejo","Cerrillos",,-33.526884,-70.718456
40,"JAM","Heavy Traffic","Autopista Central - Eje Gral. Velásquez",,"Alfaviruz",-33.517189,-70.702644
61,"JAM","Standstill Traffic","Monseñor Edwards","La Reina","rivkasedaca",-33.435896,-70.560671
62,"CHIT_CHAT","Chit-Chat","Av. Cristóbal Colón","Las Condes","PabIoAndres",-33.422427,-70.577265
63,"JAM","Standstill Traffic","Av. Ossa","La Reina","luisi_6945",-33.43593,-70.574013
64,"HAZARD","Construction","Hernando de Magallanes","Las Condes","AGUAS CORDILLERA. TRABAJANDO EN EL TRAMO.",-33.420187,-70.561935
65,"HAZARD","Construction","Martín Alonso Pinzón","Las Condes","AGUAS CORDILLERA. TRABAJANDO EN EL TRAMO!",-33.419018,-70.561379
